Id,NFTMarket_DailyVolumeUSD,Date
1173,5408449,2021-04-10
1174,7198815,2021-04-11
1175,6333702,2021-04-12
1176,7418996,2021-04-13
1177,5633816,2021-04-14
1178,5508712,2021-04-15
1179,5793594,2021-04-16
1180,4631388,2021-04-17
1181,5013781,2021-04-18
1182,5527601,2021-04-19
1183,4741506,2021-04-20
1184,4313468,2021-04-21
1185,4461537,2021-04-22
1186,4395900,2021-04-23
1187,3098431,2021-04-24
1188,2130324,2021-04-25
1189,3109698,2021-04-26
1190,7260662,2021-04-27
1191,3831072,2021-04-28
1192,3005765,2021-04-29
1193,3703599,2021-04-30
1194,4597276,2021-05-01
1195,5575469,2021-05-02
1196,16226597,2021-05-03
1197,8482746,2021-05-04
1198,5644485,2021-05-05
1199,4333437,2021-05-06
1200,2736088,2021-05-07
1201,5311829,2021-05-08
1202,3757188,2021-05-09
1203,3602569,2021-05-10
1204,4028911,2021-05-11
1205,3842693,2021-05-12
1206,5344016,2021-05-13
1207,4108912,2021-05-14
1208,3325023,2021-05-15
1209,1527994,2021-05-16
1210,1693242,2021-05-17
1211,2822877,2021-05-18
1212,1646541,2021-05-19
1213,1092350,2021-05-20
1214,4875740,2021-05-21
1215,1807809,2021-05-22
1216,1783051,2021-05-23
1217,2600547,2021-05-24
1218,1692668,2021-05-25
1219,1801598,2021-05-26
1220,2308546,2021-05-27
1221,2076867,2021-05-28
1222,1894054,2021-05-29
1223,1495615,2021-05-30
1224,1389029,2021-05-31
1225,2083240,2021-06-01
1226,2093032,2021-06-02
1227,1565658,2021-06-03
1228,1435704,2021-06-04
1229,939816,2021-06-05
1230,1603309,2021-06-06
1231,2204320,2021-06-07
1232,2786769,2021-06-08
1233,2619583,2021-06-09
1234,2701489,2021-06-10
1235,3071843,2021-06-11
1236,1988112,2021-06-12
1237,2519480,2021-06-13
1238,2262335,2021-06-14
1239,2763405,2021-06-15
1240,3166618,2021-06-16
1241,2725308,2021-06-17
1242,1636254,2021-06-18
1243,1048138,2021-06-19
1244,4491143,2021-06-20
1245,6158364,2021-06-21
1246,3270782,2021-06-22
1247,3004027,2021-06-23
1248,2885282,2021-06-24
1249,4415975,2021-06-25
1250,4042545,2021-06-26
1251,3346824,2021-06-27
1252,4280827,2021-06-28
1253,4722557,2021-06-29
1254,4795744,2021-06-30
1255,4074253,2021-07-01
1256,3847780,2021-07-02
1257,2638734,2021-07-03
1258,5962361,2021-07-04
1259,6087282,2021-07-05
1260,5204896,2021-07-06
1261,4748461,2021-07-07
1262,5839514,2021-07-08
1263,7940782,2021-07-09
1264,6607696,2021-07-10
1265,7426336,2021-07-11
1266,7534165,2021-07-12
1267,8312321,2021-07-13
1268,5376952,2021-07-14
1269,8622433,2021-07-15
1270,9634238,2021-07-16
1271,13216990,2021-07-17
1272,6639350,2021-07-18
1273,8305976,2021-07-19
1274,7675340,2021-07-20
1275,6291932,2021-07-21
1276,5027444,2021-07-22
1277,5723541,2021-07-23
1278,6689734,2021-07-24
1279,5894605,2021-07-25
1280,8330025,2021-07-26
1281,10139326,2021-07-27
1282,13925532,2021-07-28
1283,15535510,2021-07-29
1284,39986810,2021-07-30
1285,59546069,2021-07-31
1286,64553447,2021-08-01
1287,23086452,2021-08-02
1288,36968043,2021-08-03
1289,66891881,2021-08-04
1290,73330920,2021-08-05
1291,94801162,2021-08-06
1292,53751109,2021-08-07
1293,52006014,2021-08-08
1294,47111054,2021-08-09
1295,44677069,2021-08-10
1296,43756360,2021-08-11
1297,34070347,2021-08-12
1298,41369245,2021-08-13
1299,46275150,2021-08-14
1300,45237474,2021-08-15
1301,31685598,2021-08-16
1302,31464618,2021-08-17
1303,32773720,2021-08-18
1304,30841542,2021-08-19
1305,56088218,2021-08-20
1306,61786498,2021-08-21
1307,76046596,2021-08-22
1308,194753117,2021-08-23
1309,173909780,2021-08-24
1310,136059444,2021-08-25
1311,131706091,2021-08-26
1312,154514538,2021-08-27
1313,322543958,2021-08-28
1314,179582907,2021-08-29
1315,144671041,2021-08-30
1316,125791246,2021-08-31
1317,144748019,2021-09-01
1318,167695165,2021-09-02
1319,140312060,2021-09-03
1320,126402666,2021-09-04
1321,118901345,2021-09-05
1322,119521159,2021-09-06
1323,102059545,2021-09-07
1324,71538932,2021-09-08
1325,61618086,2021-09-09
1326,59122744,2021-09-10
1327,52058245,2021-09-11
1328,40174319,2021-09-12
1329,58991849,2021-09-13
1330,61860028,2021-09-14
1331,66638383,2021-09-15
1332,113307508,2021-09-16
1333,68337866,2021-09-17
1334,84566870,2021-09-18
1335,90698022,2021-09-19
1336,63866444,2021-09-20
1337,52630729,2021-09-21
1338,45280804,2021-09-22
1339,84441972,2021-09-23
1340,72842270,2021-09-24
1341,69179865,2021-09-25
1342,65853248,2021-09-26
1343,80122454,2021-09-27
1344,76762483,2021-09-28
1345,77903557,2021-09-29
1346,94135952,2021-09-30
1347,86637201,2021-10-01
1348,78435251,2021-10-02
1349,115624180,2021-10-03
1350,139924972,2021-10-04
1351,136499731,2021-10-05
1352,101481511,2021-10-06
1353,135587053,2021-10-07
1354,114510763,2021-10-08
1355,79581353,2021-10-09
1356,79767040,2021-10-10
1357,71822127,2021-10-11
1358,71584154,2021-10-12
1359,91104578,2021-10-13
1360,71774564,2021-10-14
1361,92387338,2021-10-15
1362,59283830,2021-10-16
1363,119426707,2021-10-17
1364,51627607,2021-10-18
1365,61492130,2021-10-19
1366,55820558,2021-10-20
1367,59051108,2021-10-21
1368,70846717,2021-10-22
1369,77199809,2021-10-23
1370,64110009,2021-10-24
1371,61917023,2021-10-25
1372,54461375,2021-10-26
1373,51403204,2021-10-27
1374,42434607,2021-10-28
1375,46752564,2021-10-29
1376,35861662,2021-10-30
1377,43160520,2021-10-31
1378,46323304,2021-11-01
1379,39807398,2021-11-02
1380,55815389,2021-11-03
1381,49976775,2021-11-04
1382,45310972,2021-11-05
1383,44505698,2021-11-06
1384,45401157,2021-11-07
1385,48290120,2021-11-08
1386,40007536,2021-11-09
1387,55397441,2021-11-10
1388,39125556,2021-11-11
1389,54802690,2021-11-12
1390,97623408,2021-11-13
1391,105994869,2021-11-14
1392,85002513,2021-11-15
1393,99206142,2021-11-16
1394,95411742,2021-11-17
1395,81031528,2021-11-18
1396,72336233,2021-11-19
1397,72588942,2021-11-20
1398,94330327,2021-11-21
1399,103665045,2021-11-22
1400,76883602,2021-11-23
1401,83355639,2021-11-24
1402,68530238,2021-11-25
1403,65486170,2021-11-26
1404,79018894,2021-11-27
1405,86197743,2021-11-28
1406,106844758,2021-11-29
1407,105983625,2021-11-30
1408,79820353,2021-12-01
1409,77725215,2021-12-02
1410,81570886,2021-12-03
1411,60864584,2021-12-04
1412,67791665,2021-12-05
1413,68714443,2021-12-06
1414,110720550,2021-12-07
1415,77210241,2021-12-08
1416,104401009,2021-12-09
1417,95822206,2021-12-10
1418,75025409,2021-12-11
1419,79942467,2021-12-12
1420,156016519,2021-12-13
1421,134377085,2021-12-14
1422,93084961,2021-12-15
1423,87680643,2021-12-16
1424,95244060,2021-12-17
1425,112821588,2021-12-18
1426,72269254,2021-12-19
1427,67988416,2021-12-20
1428,84944391,2021-12-21
1429,79430534,2021-12-22
1430,87721293,2021-12-23
1431,132462785,2021-12-24
1432,84135612,2021-12-25
1433,110808728,2021-12-26
1434,175620655,2021-12-27
1435,21373990,2021-12-28
1436,29568568,2021-12-29
1437,62016663,2021-12-30
1438,10412950,2021-12-31
1439,70737590,2022-01-01
1440,9969884,2022-01-02
1441,14626962,2022-01-03
1442,99500969,2022-01-04
1443,7688379,2022-01-05
1444,1141254,2022-01-06
