Id,Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Active_Market_Wallets_cumsum,Primary_Sales_cumsum,Secondary_Sales_cumsum,AverageUSD_cum,Sales_USD,Number_of_Sales,Active_Market_Wallets,Primary_Sales
1377,2021-03-28,658373245.68,5618183,271722.0,3582040,2274.0,117.19,6295801.9499999300,6557.0,381.0,4283.0
1378,2021-03-29,665436991.97,5624139,272389.0,3585494,2502.0,118.32,7063746.290000080,5956.0,667.0,3454.0
1379,2021-03-30,673347430.07,5629303,273133.0,3588595,2063.0,119.61,7910438.100000020,5164.0,744.0,3101.0
1380,2021-03-31,680020360.85,5633849,274113.0,3591483,1658.0,120.7,6672930.779999970,4546.0,980.0,2888.0
1381,2021-04-01,686493215.18,5638188,274886.0,3594151,1671.0,121.76,6472854.329999920,4339.0,773.0,2668.0
1382,2021-04-02,691883377.41,5641877,276346.0,3596987,853.0,122.63,5390162.230000020,3689.0,1460.0,2836.0
1383,2021-04-03,697335832.98,5646234,277224.0,3599831,1513.0,123.5,5452455.570000050,4357.0,878.0,2844.0
1384,2021-04-04,701952775.03,5652220,278050.0,3603366,2451.0,124.19,4616942.049999950,5986.0,826.0,3535.0
1385,2021-04-05,708249538.35,5657214,279009.0,3606730,1630.0,125.19,6296763.320000050,4994.0,959.0,3364.0
1386,2021-04-06,712967248.74,5661882,280121.0,3609659,1739.0,125.92,4717710.389999990,4668.0,1112.0,2929.0
1387,2021-04-07,717420817.09,5669787,280706.0,3615869,1695.0,126.53,4453568.350000020,7905.0,585.0,6210.0
1388,2021-04-08,729847301.47,5675818,281693.0,3620065,1835.0,128.59,12426484.380000000,6031.0,987.0,4196.0
1389,2021-04-09,741021252.85,5681613,282622.0,3623984,1876.0,130.42,11173951.380000000,5795.0,929.0,3919.0
1390,2021-04-10,748311990.44,5688233,283667.0,3628679,1925.0,131.55,7290737.590000030,6620.0,1045.0,4695.0
1391,2021-04-11,773267888.41,5695229,284464.0,3633557,2118.0,135.77,24955897.96999990,6996.0,797.0,4878.0
1392,2021-04-12,780778848.16,5700601,285203.0,3637168,1761.0,136.96,7510959.75,5372.0,739.0,3611.0
1393,2021-04-13,789482376.47,5706042,285919.0,3640622,1987.0,138.36,8703528.310000060,5441.0,716.0,3454.0
1394,2021-04-14,803726484.64,5713295,286304.0,3646431,1444.0,140.68,14244108.170000000,7253.0,385.0,5809.0
1395,2021-04-15,814206813.7,5718337,286709.0,3650076,1397.0,142.39,10480329.060000100,5042.0,405.0,3645.0
1396,2021-04-16,826317003.89,5723564,287257.0,3653512,1791.0,144.37,12110190.189999900,5227.0,548.0,3436.0
1397,2021-04-17,832949812.8,5728540,287651.0,3656971,1517.0,145.4,6632808.909999970,4976.0,394.0,3459.0
1398,2021-04-18,838886272.79,5733201,288695.0,3660189,1443.0,146.32,5936459.99000001,4661.0,1044.0,3218.0
1399,2021-04-19,845305015.12,5736943,289524.0,3662842,1089.0,147.34,6418742.330000040,3742.0,829.0,2653.0
1400,2021-04-20,850577357.43,5739440,290113.0,3664806,533.0,148.2,5272342.309999940,2497.0,589.0,1964.0
1401,2021-04-21,856526269.96,5743423,290990.0,3667403,1386.0,149.13,5948912.530000090,3983.0,877.0,2597.0
1402,2021-04-22,862145380.39,5748170,292090.0,3670878,1272.0,149.99,5619110.429999950,4747.0,1100.0,3475.0
1403,2021-04-23,867902157.91,5753891,293139.0,3674783,1816.0,150.84,5756777.519999980,5721.0,1049.0,3905.0
1404,2021-04-24,872630817.7,5759079,294322.0,3678697,1274.0,151.52,4728659.790000080,5188.0,1183.0,3914.0
1405,2021-04-25,875930337.69,5764702,295914.0,3682780,1540.0,151.95,3299519.9900000100,5623.0,1592.0,4083.0
1406,2021-04-26,880835511.7,5770546,297407.0,3687217,1407.0,152.64,4905174.00999999,5844.0,1493.0,4437.0
1407,2021-04-27,890628540.48,5777814,298945.0,3693017,1468.0,154.15,9793028.779999970,7268.0,1538.0,5800.0
1408,2021-04-28,896413542.49,5783782,300324.0,3697808,1177.0,154.99,5785002.00999999,5968.0,1379.0,4791.0
1409,2021-04-29,900890810.18,5789080,300937.0,3701867,1239.0,155.62,4477267.689999940,5298.0,613.0,4059.0
1410,2021-04-30,907420843.36,5795758,301657.0,3706637,1908.0,156.57,6530033.180000070,6678.0,720.0,4770.0
1411,2021-05-01,917186286.6,5812397,302534.0,3720033,3243.0,157.8,9765443.24000001,16639.0,877.0,13396.0
1412,2021-05-02,927590860.67,5818457,303554.0,3723041,3052.0,159.42,10404574.069999900,6060.0,1020.0,3008.0
1413,2021-05-03,1032258516.18,5833142,303928.0,3734597,3129.0,176.96,104667655.51000000,14685.0,374.0,11556.0
1414,2021-05-04,1064778309.31,5839823,304223.0,3738491,2787.0,182.33,32519793.130000000,6681.0,295.0,3894.0
1415,2021-05-05,1078908586.58,5844482,304504.0,3741404,1746.0,184.6,14130277.27000000,4659.0,281.0,2913.0
1416,2021-05-06,1089776074.19,5849191,304736.0,3744495,1618.0,186.31,10867487.610000100,4709.0,232.0,3091.0
1417,2021-05-07,1097584937.09,5853467,307256.0,3747111,1660.0,187.51,7808862.899999860,4276.0,2520.0,2616.0
1418,2021-05-08,1108385115.1,5856035,308316.0,3748825,854.0,189.27,10800178.01000000,2568.0,1060.0,1714.0
1419,2021-05-09,1118385440.44,5859414,308708.0,3750740,1464.0,190.87,10000325.340000200,3379.0,392.0,1915.0
1420,2021-05-10,1125819813.43,5860775,309574.0,3751545,556.0,192.09,7434372.99000001,1361.0,866.0,805.0
1421,2021-05-11,1133463092.05,5862342,310643.0,3752560,552.0,193.35,7643278.619999890,1567.0,1069.0,1015.0
1422,2021-05-12,1157950269.48,5866545,311047.0,3756156,607.0,197.38,24487177.430000100,4203.0,404.0,3596.0
1423,2021-05-13,1173132632.69,5870500,311353.0,3758968,1143.0,199.84,15182363.210000000,3955.0,306.0,2812.0
1424,2021-05-14,1185305491.09,5876122,311633.0,3762752,1838.0,201.72,12172858.399999900,5622.0,280.0,3784.0
1425,2021-05-15,1193452390.99,5880662,312205.0,3765620,1672.0,202.95,8146899.900000100,4540.0,572.0,2868.0
1426,2021-05-16,1200162567.61,5884798,312679.0,3768605,1151.0,203.94,6710176.619999890,4136.0,474.0,2985.0
1427,2021-05-17,1204026945.98,5887999,313042.0,3770709,1097.0,204.49,3864378.370000120,3201.0,363.0,2104.0
1428,2021-05-18,1209159041.68,5891598,313280.0,3772874,1434.0,205.23,5132095.700000050,3599.0,238.0,2165.0
1429,2021-05-19,1211705732.91,5893939,313683.0,3774173,1042.0,205.59,2546691.230000020,2341.0,403.0,1299.0
1430,2021-05-20,1214779409.12,5898676,315126.0,3777441,1469.0,205.94,3073676.2099998000,4737.0,1443.0,3268.0
1431,2021-05-21,1218481177.39,5903083,316203.0,3780364,1484.0,206.41,3701768.2700002200,4407.0,1077.0,2923.0
1432,2021-05-22,1224229823.76,5908602,317072.0,3783659,2224.0,207.19,5748646.369999890,5519.0,869.0,3295.0
1433,2021-05-23,1227300915.98,5911684,317512.0,3785437,1304.0,207.61,3071092.2200000300,3082.0,440.0,1778.0
1434,2021-05-24,1231913163.95,5915651,318259.0,3787544,1860.0,208.25,4612247.970000030,3967.0,747.0,2107.0
1435,2021-05-25,1235544702.54,5919673,318851.0,3789622,1944.0,208.72,3631538.589999910,4022.0,592.0,2078.0
1436,2021-05-26,1239356095.94,5923795,319681.0,3791738,2006.0,209.22,3811393.4000001000,4122.0,830.0,2116.0
1437,2021-05-27,1245602938.77,5930089,320422.0,3795794,2238.0,210.05,6246842.829999920,6294.0,741.0,4056.0
1438,2021-05-28,1250695017.71,5934586,321077.0,3798784,1507.0,210.75,5092078.940000060,4497.0,655.0,2990.0
1439,2021-05-29,1255260432.27,5938867,321603.0,3801711,1354.0,211.36,4565414.559999940,4281.0,526.0,2927.0
1440,2021-05-30,1259489048.58,5943281,322658.0,3804321,1804.0,211.92,4228616.309999940,4414.0,1055.0,2610.0
1441,2021-05-31,1263494399.13,5947708,323456.0,3807123,1625.0,212.43,4005350.5500001900,4427.0,798.0,2802.0
1442,2021-06-01,1269061265.05,5952914,323949.0,3810309,2020.0,213.18,5566865.919999840,5206.0,493.0,3186.0
1443,2021-06-02,1272370275.21,5956883,324481.0,3812722,1556.0,213.6,3309010.160000090,3969.0,532.0,2413.0
1444,2021-06-03,1275449444.18,5960872,325334.0,3815267,1444.0,213.97,3079168.9700000300,3989.0,853.0,2545.0
1445,2021-06-04,1278414617.32,5965180,326240.0,3818247,1328.0,214.31,2965173.1399998700,4308.0,906.0,2980.0
1446,2021-06-05,1281370096.32,5969668,327403.0,3820994,1741.0,214.65,2955479.0,4488.0,1163.0,2747.0
1447,2021-06-06,1285426322.0,5974135,327895.0,3823971,1490.0,215.17,4056225.6800000700,4467.0,492.0,2977.0
1448,2021-06-07,1291142538.64,5978729,328580.0,3826847,1718.0,215.96,5716216.640000110,4594.0,685.0,2876.0
1449,2021-06-08,1295634967.25,5983509,329200.0,3830156,1471.0,216.53,4492428.609999900,4780.0,620.0,3309.0
1450,2021-06-09,1298956199.51,5989188,330057.0,3834488,1347.0,216.88,3321232.2599999900,5679.0,857.0,4332.0
1451,2021-06-10,1303176530.98,5995688,330924.0,3839506,1482.0,217.35,4220331.470000030,6500.0,867.0,5018.0
1452,2021-06-11,1312625468.3,6009116,331593.0,3850043,2891.0,218.44,9448937.319999930,13428.0,669.0,10537.0
1453,2021-06-12,1315308451.19,6013517,332687.0,3852623,1821.0,218.73,2682982.890000110,4401.0,1094.0,2580.0
1454,2021-06-13,1317632190.58,6018090,333585.0,3855450,1746.0,218.95,2323739.3899998700,4573.0,898.0,2827.0
1455,2021-06-14,1320990791.3,6024139,334614.0,3860086,1413.0,219.28,3358600.7200000300,6049.0,1029.0,4636.0
1456,2021-06-15,1328560181.22,6038080,335448.0,3871093,2934.0,220.03,7569389.920000080,13941.0,834.0,11007.0
1457,2021-06-16,1334047239.19,6045200,335832.0,3875039,3174.0,220.68,5487057.970000030,7120.0,384.0,3946.0
1458,2021-06-17,1339596893.06,6050958,336599.0,3878667,2130.0,221.39,5549653.869999890,5758.0,767.0,3628.0
1459,2021-06-18,1344548339.74,6068908,337482.0,3892167,4450.0,221.55,4951446.680000070,17950.0,883.0,13500.0
1460,2021-06-19,1351467657.5,6086561,338648.0,3905613,4207.0,222.04,6919317.75999999,17653.0,1166.0,13446.0
1461,2021-06-20,1363923409.71,6108095,339507.0,3920333,6814.0,223.3,12455752.210000000,21534.0,859.0,14720.0
1462,2021-06-21,1376159782.47,6129507,340538.0,3932623,9122.0,224.51,12236372.76000000,21412.0,1031.0,12290.0
1463,2021-06-22,1381580409.98,6135620,341646.0,3934543,4193.0,225.17,5420627.50999999,6113.0,1108.0,1920.0
1464,2021-06-23,1387914195.02,6143142,342141.0,3937780,4285.0,225.93,6333785.039999960,7522.0,495.0,3237.0
1465,2021-06-24,1394718786.87,6153434,344170.0,3944282,3790.0,226.66,6804591.849999910,10292.0,2029.0,6502.0
1466,2021-06-25,1404704788.77,6168808,345445.0,3955697,3959.0,227.71,9986001.900000100,15374.0,1275.0,11415.0
1467,2021-06-26,1413911115.76,6180258,346265.0,3962169,4978.0,228.78,9206326.99000001,11450.0,820.0,6472.0
1468,2021-06-27,1422644723.48,6207255,346967.0,3981398,7768.0,229.19,8733607.720000030,26997.0,702.0,19229.0
1469,2021-06-28,1430640389.84,6219455,347345.0,3987519,6079.0,230.03,7995666.359999900,12200.0,378.0,6121.0
1470,2021-06-29,1437939891.82,6229459,348351.0,3993513,4010.0,230.83,7299501.980000020,10004.0,1006.0,5994.0
1471,2021-06-30,1449259095.94,6273521,349140.0,4032676,4899.0,231.01,11319204.120000100,44062.0,789.0,39163.0
1472,2021-07-01,1455937658.79,6297648,349924.0,4051476,5327.0,231.19,6678562.849999910,24127.0,784.0,18800.0
1473,2021-07-02,1463120510.02,6309511,351201.0,4057703,5636.0,231.89,7182851.230000020,11863.0,1277.0,6227.0
1474,2021-07-03,1467575419.8,6318308,352362.0,4062004,4496.0,232.27,4454909.779999970,8797.0,1161.0,4301.0
1475,2021-07-04,1475466675.12,6327801,353229.0,4065611,5886.0,233.17,7891255.319999930,9493.0,867.0,3607.0
1476,2021-07-05,1481466650.06,6337518,353709.0,4069971,5357.0,233.76,5999974.940000060,9717.0,480.0,4360.0
1477,2021-07-06,1488576697.33,6346383,354320.0,4074346,4490.0,234.56,7110047.269999980,8865.0,611.0,4375.0
1478,2021-07-07,1498123090.73,6360279,355017.0,4081595,6647.0,235.54,9546393.400000100,13896.0,697.0,7249.0
1479,2021-07-08,1508090420.49,6381191,355576.0,4096921,5586.0,236.33,9967329.75999999,20912.0,559.0,15326.0
1480,2021-07-09,1517647431.62,6394962,356917.0,4102521,8171.0,237.32,9557011.129999880,13771.0,1341.0,5600.0
1481,2021-07-10,1528692621.16,6408504,357934.0,4110165,5898.0,238.54,11045189.5400002,13542.0,1017.0,7644.0
1482,2021-07-11,1538225739.07,6424206,359267.0,4120377,5490.0,239.44,9533117.909999850,15702.0,1333.0,10212.0
1483,2021-07-12,1547756430.79,6436769,360304.0,4127849,5091.0,240.46,9530691.720000030,12563.0,1037.0,7472.0
1484,2021-07-13,1559806294.58,6455580,361509.0,4139741,6919.0,241.62,12049863.790000000,18811.0,1205.0,11892.0
1485,2021-07-14,1569112449.99,6469718,364534.0,4146797,7082.0,242.53,9306155.410000090,14138.0,3025.0,7056.0
1486,2021-07-15,1584054305.11,6487970,366048.0,4158049,7000.0,244.15,14941855.119999900,18252.0,1514.0,11252.0
1487,2021-07-16,1599387204.69,6507686,367048.0,4170690,7075.0,245.77,15332899.580000200,19716.0,1000.0,12641.0
1488,2021-07-17,1617125638.14,6528953,367884.0,4183356,8601.0,247.69,17738433.450000000,21267.0,836.0,12666.0
1489,2021-07-18,1627420684.04,6545970,368537.0,4193000,7373.0,248.61,10295045.899999900,17017.0,653.0,9644.0
1490,2021-07-19,1638218693.09,6559724,369414.0,4201071,5683.0,249.74,10798009.050000000,13754.0,877.0,8071.0
1491,2021-07-20,1647959020.67,6581144,370686.0,4215397,7094.0,250.41,9740327.580000160,21420.0,1272.0,14326.0
1492,2021-07-21,1656777233.02,6595693,371215.0,4223236,6710.0,251.19,8818212.349999910,14549.0,529.0,7839.0
1493,2021-07-22,1664474143.68,6604946,371752.0,4228209,4280.0,252.0,7696910.660000090,9253.0,537.0,4973.0
1494,2021-07-23,1673527592.59,6613790,372276.0,4232491,4562.0,253.04,9053448.909999850,8844.0,524.0,4282.0
1495,2021-07-24,1680917431.87,6620814,373037.0,4235743,3772.0,253.88,7389839.279999970,7024.0,761.0,3252.0
1496,2021-07-25,1690323841.7,6628224,374435.0,4238821,4332.0,255.02,9406409.830000160,7410.0,1398.0,3078.0
1497,2021-07-26,1706124141.17,6637361,375499.0,4244107,3851.0,257.05,15800299.470000000,9137.0,1064.0,5286.0
1498,2021-07-27,1716962170.35,6645900,378025.0,4248050,4596.0,258.35,10838029.179999800,8539.0,2526.0,3943.0
1499,2021-07-28,1727024162.41,6653144,379888.0,4251727,3567.0,259.58,10061992.060000200,7244.0,1863.0,3677.0
1500,2021-07-29,1741888899.92,6659005,383452.0,4254248,3340.0,261.58,14864737.51000000,5861.0,3564.0,2521.0
1501,2021-07-30,1769650428.38,6665115,386640.0,4257210,3148.0,265.51,27761528.46000000,6110.0,3188.0,2962.0
1502,2021-07-31,1843902413.56,6676859,390685.0,4263967,4987.0,276.16,74251985.17999980,11744.0,4045.0,6757.0
1503,2021-08-01,1921899975.67,6690504,394641.0,4269015,8597.0,287.26,77997562.11000010,13645.0,3956.0,5048.0
1504,2021-08-02,1949382780.08,6707198,398402.0,4279127,6582.0,290.64,27482804.409999800,16694.0,3761.0,10112.0
1505,2021-08-03,1988934058.93,6726171,402280.0,4284250,13850.0,295.7,39551278.85000010,18973.0,3878.0,5123.0
1506,2021-08-04,2066562182.94,6747502,406010.0,4289370,16211.0,306.27,77628124.01000000,21331.0,3730.0,5120.0
1507,2021-08-05,2144339307.25,6774411,409277.0,4294569,21710.0,316.54,77777124.30999990,26909.0,3267.0,5199.0
1508,2021-08-06,2249821176.51,6803813,412787.0,4303871,20100.0,330.67,105481869.26000000,29402.0,3510.0,9302.0
1509,2021-08-07,2315695263.04,6857089,415190.0,4336517,20630.0,337.71,65874086.52999970,53276.0,2403.0,32646.0
1510,2021-08-08,2401260801.31,6922325,419442.0,4375232,26521.0,346.89,85565538.27000000,65236.0,4252.0,38715.0
1511,2021-08-09,2485369075.75,7004389,422486.0,4428616,28680.0,354.83,84108274.44000010,82064.0,3044.0,53384.0
1512,2021-08-10,2558565011.46,7083612,425029.0,4474662,33177.0,361.19,73195935.71000000,79223.0,2543.0,46046.0
1513,2021-08-11,2625010888.44,7139626,426912.0,4501821,28855.0,367.67,66445876.98000000,56014.0,1883.0,27159.0
1514,2021-08-12,2683910763.0,7183775,429639.0,4523002,22968.0,373.61,58899874.55999990,44149.0,2727.0,21181.0
1515,2021-08-13,2742610439.15,7246619,431931.0,4558612,27234.0,378.47,58699676.150000100,62844.0,2292.0,35610.0
1516,2021-08-14,2807796187.45,7289197,434399.0,4575199,25991.0,385.2,65185748.299999700,42578.0,2468.0,16587.0
1517,2021-08-15,2870264932.2,7351829,437508.0,4615843,21988.0,390.42,62468744.75,62632.0,3109.0,40644.0
1518,2021-08-16,2921346167.62,7406295,440266.0,4644645,25664.0,394.44,51081235.42000010,54466.0,2758.0,28802.0
1519,2021-08-17,2961589011.15,7436609,444892.0,4658787,16172.0,398.24,40242843.53000020,30314.0,4626.0,14142.0
1520,2021-08-18,3005396654.5,7457379,449285.0,4666594,12963.0,403.01,43807643.349999900,20770.0,4393.0,7807.0
1521,2021-08-19,3037913996.77,7482216,454665.0,4677861,13570.0,406.02,32517342.27000000,24837.0,5380.0,11267.0
1522,2021-08-20,3115217599.79,7508411,458887.0,4690133,13923.0,414.9,77303603.02000000,26195.0,4222.0,12272.0
1523,2021-08-21,3223181496.39,7535187,462966.0,4701677,15232.0,427.75,107963896.6000000,26776.0,4079.0,11544.0
1524,2021-08-22,3323352821.65,7567031,467373.0,4712688,20833.0,439.19,100171325.26000000,31844.0,4407.0,11011.0
1525,2021-08-23,3566930620.0,7601607,471816.0,4724813,22451.0,469.23,243577798.3500000,34576.0,4443.0,12125.0
1526,2021-08-24,3761880403.51,7643809,475831.0,4740794,26221.0,492.15,194949783.51000000,42202.0,4015.0,15981.0
1527,2021-08-25,3914466731.12,7690685,479949.0,4759489,28181.0,508.99,152586327.61000000,46876.0,4118.0,18695.0
1528,2021-08-26,4050615028.02,7731069,482595.0,4774792,25081.0,523.94,136148296.9000000,40384.0,2646.0,15303.0
1529,2021-08-27,4258766143.57,7791478,484781.0,4811100,24101.0,546.59,208151115.5500000,60409.0,2186.0,36308.0
1530,2021-08-28,4590295406.72,7839873,489991.0,4831021,28474.0,585.51,331529263.1500000,48395.0,5210.0,19921.0
1531,2021-08-29,4978931765.21,7897699,494706.0,4857493,31354.0,630.43,388636358.4900000,57826.0,4715.0,26472.0
1532,2021-08-30,5206486952.06,7947449,498482.0,4876226,31017.0,655.11,227555186.85000000,49750.0,3776.0,18733.0
1533,2021-08-31,5363242858.95,8006710,500957.0,4904451,31036.0,669.84,156755906.8899990,59261.0,2475.0,28225.0
1534,2021-09-01,5514959669.74,8053004,504192.0,4926086,24659.0,684.83,151716810.79000000,46294.0,3235.0,21635.0
1535,2021-09-02,5660670177.04,8072745,506805.0,4929720,16107.0,701.21,145710507.3000000,19741.0,2613.0,3634.0
1536,2021-09-03,5790191091.27,8092038,508914.0,4938024,10989.0,715.54,129520914.2300010,19293.0,2109.0,8304.0
1537,2021-09-04,5892927584.89,8122600,511816.0,4954789,13797.0,725.5,102736493.62000000,30562.0,2902.0,16765.0
1538,2021-09-05,5981054012.14,8160070,513845.0,4976982,15277.0,732.97,88126427.25,37470.0,2029.0,22193.0
1539,2021-09-06,6055278415.96,8188721,515469.0,4991313,14320.0,739.47,74224403.8199997,28651.0,1624.0,14331.0
1540,2021-09-07,6108395657.3,8202054,517321.0,4995360,9286.0,744.74,53117241.34000020,13333.0,1852.0,4047.0
1541,2021-09-08,6151416752.17,8223082,520106.0,5007898,8490.0,748.07,43021094.869999900,21028.0,2785.0,12538.0
1542,2021-09-09,6191056143.26,8240666,523433.0,5016433,9049.0,751.28,39639391.09000020,17584.0,3327.0,8535.0
1543,2021-09-10,6228068306.0,8255685,524786.0,5023092,8360.0,754.4,37012162.73999980,15019.0,1353.0,6659.0
1544,2021-09-11,6259099528.12,8273969,527791.0,5032169,9207.0,756.48,31031222.119999900,18284.0,3005.0,9077.0
1545,2021-09-12,6285874436.84,8295806,529060.0,5046349,7657.0,757.72,26774908.720000300,21837.0,1269.0,14180.0
1546,2021-09-13,6339455797.13,8310839,530900.0,5052854,8528.0,762.79,53581360.29000000,15033.0,1840.0,6505.0
1547,2021-09-14,6378333978.96,8323394,533235.0,5057302,8107.0,766.31,38878181.82999990,12555.0,2335.0,4448.0
1548,2021-09-15,6430468064.52,8347964,534908.0,5072973,8899.0,770.3,52134085.56000040,24570.0,1673.0,15671.0
1549,2021-09-16,6525734135.93,8368627,536867.0,5083283,10353.0,779.79,95266071.40999990,20663.0,1959.0,10310.0
1550,2021-09-17,6565483822.62,8388498,541934.0,5091101,12053.0,782.68,39749686.68999960,19871.0,5067.0,7818.0
1551,2021-09-18,6605802962.12,8413535,548506.0,5103261,12877.0,785.14,40319139.5,25037.0,6572.0,12160.0
1552,2021-09-19,6639517628.74,8425433,552339.0,5105873,9286.0,788.03,33714666.619999900,11898.0,3833.0,2612.0
1553,2021-09-20,6670549527.34,8442965,556766.0,5114988,8417.0,790.07,31031898.60000040,17532.0,4427.0,9115.0
1554,2021-09-21,6713692300.32,8467325,559895.0,5125599,13749.0,792.89,43142772.97999950,24360.0,3129.0,10611.0
1555,2021-09-22,6737687039.48,8478840,564460.0,5129806,7308.0,794.65,23994739.159999800,11515.0,4565.0,4207.0
1556,2021-09-23,6796515230.88,8498240,568259.0,5138172,11034.0,799.76,58828191.40000060,19400.0,3799.0,8366.0
1557,2021-09-24,6850331119.11,8537423,571228.0,5161888,15467.0,802.39,53815888.22999950,39183.0,2969.0,23716.0
1558,2021-09-25,6911718458.71,8589278,573905.0,5192661,21082.0,804.69,61387339.60000040,51855.0,2677.0,30773.0
1559,2021-09-26,6978628403.72,8637397,580431.0,5215277,25503.0,807.96,66909945.01000020,48119.0,6526.0,22616.0
1560,2021-09-27,7082115643.91,8700473,583809.0,5249084,29269.0,813.99,103487240.19000000,63076.0,3378.0,33807.0
1561,2021-09-28,7183234755.04,8742385,586552.0,5266207,24789.0,821.66,101119111.13000000,41912.0,2743.0,17123.0
1562,2021-09-29,7258880053.78,8791215,591420.0,5289717,25320.0,825.7,75645298.73999980,48830.0,4868.0,23510.0
1563,2021-09-30,7351657769.58,8860833,597027.0,5334659,24676.0,829.68,92777715.80000020,69618.0,5607.0,44942.0
1564,2021-10-01,7438397864.9,8906924,600499.0,5358100,22650.0,835.13,86740095.3199997,46091.0,3472.0,23441.0
1565,2021-10-02,7517092938.16,8950543,604565.0,5378786,22933.0,839.85,78695073.26000020,43619.0,4066.0,20686.0
1566,2021-10-03,7610628795.98,8998165,606835.0,5399423,26985.0,845.8,93535857.8199997,47622.0,2270.0,20637.0
1567,2021-10-04,7738337174.9,9080917,609729.0,5442890,39285.0,852.15,127708378.92000000,82752.0,2894.0,43467.0
1568,2021-10-05,7848288311.94,9133930,611904.0,5464527,31376.0,859.25,109951137.04000000,53013.0,2175.0,21637.0
1569,2021-10-06,7927145125.8,9162962,615689.0,5468416,25143.0,865.13,78856813.86000060,29032.0,3785.0,3889.0
1570,2021-10-07,8019545103.71,9212814,618286.0,5497944,20324.0,870.48,92399977.90999990,49852.0,2597.0,29528.0
1571,2021-10-08,8123808751.42,9281662,621807.0,5540494,26298.0,875.25,104263647.71000000,68848.0,3521.0,42550.0
1572,2021-10-09,8182217292.98,9316707,623724.0,5554294,21245.0,878.23,58408541.559999500,35045.0,1917.0,13800.0
1573,2021-10-10,8238557984.76,9355575,653853.0,5573802,19360.0,880.6,56340691.78000070,38868.0,30129.0,19508.0
1574,2021-10-11,8290666767.64,9381502,665931.0,5583191,16538.0,883.72,52108782.880000100,25927.0,12078.0,9389.0
1575,2021-10-12,8345876841.14,9408962,674793.0,5594720,15931.0,887.01,55210073.5,27460.0,8862.0,11529.0
1576,2021-10-13,8412019539.62,9428654,680815.0,5601525,12887.0,892.18,66142698.47999950,19692.0,6022.0,6805.0
1577,2021-10-14,8460900096.08,9451624,686898.0,5613149,11346.0,895.18,48880556.46000000,22970.0,6083.0,11624.0
1578,2021-10-15,8521832824.74,9470824,696457.0,5622061,10288.0,899.8,60932728.65999990,19200.0,9559.0,8912.0
1579,2021-10-16,8568835720.08,9487372,706195.0,5626154,12455.0,903.18,47002895.34000020,16548.0,9738.0,4093.0
1580,2021-10-17,8621377082.08,9506186,711392.0,5634009,10959.0,906.92,52541362.0,18814.0,5197.0,7855.0
1581,2021-10-18,8679946477.28,9583368,716292.0,5707781,3410.0,905.73,58569395.20000080,77182.0,4900.0,73772.0
1582,2021-10-19,8788543906.51,9745100,728534.0,5799828,69685.0,901.84,108597429.23000000,161732.0,12242.0,92047.0
1583,2021-10-20,8878464925.15,9854022,732465.0,5863856,44894.0,901.0,89921018.63999940,108922.0,3931.0,64028.0
1584,2021-10-21,8932409902.33,9903622,737240.0,5889879,23577.0,901.93,53944977.180000300,49600.0,4775.0,26023.0
1585,2021-10-22,8987609057.61,9946225,748347.0,5912370,20112.0,903.62,55199155.28000070,42603.0,11107.0,22491.0
1586,2021-10-23,9093178428.46,10068314,753316.0,5994051,40408.0,903.15,105569370.84999800,122089.0,4969.0,81681.0
1587,2021-10-24,9166815200.37,10185622,754633.0,6063771,47588.0,899.98,73636771.91000180,117308.0,1317.0,69720.0
1588,2021-10-25,9217392642.61,10225761,763565.0,6082659,21251.0,901.39,50577442.23999980,40139.0,8932.0,18888.0
1589,2021-10-26,9259909672.02,10257126,767183.0,6098329,15695.0,902.78,42517029.40999990,31365.0,3618.0,15670.0
1590,2021-10-27,9368154865.23,10397112,769282.0,6191938,46377.0,901.03,108245193.20999900,139986.0,2099.0,93609.0
1591,2021-10-28,9407716706.29,10427209,771260.0,6207391,14644.0,902.23,39561841.06000140,30097.0,1978.0,15453.0
1592,2021-10-29,9450085350.93,10454399,778634.0,6221412,13169.0,903.93,42368644.63999940,27190.0,7374.0,14021.0
1593,2021-10-30,9584712030.24,10507693,782281.0,6270686,4020.0,912.16,134626679.30999900,53294.0,3647.0,49274.0
1594,2021-10-31,9651053069.89,10561165,788567.0,6306451,17707.0,913.82,66341039.64999960,53472.0,6286.0,35765.0
1595,2021-11-01,9686591841.18,10574811,794987.0,6318557,1540.0,916.01,35538771.290000900,13646.0,6420.0,12106.0
1596,2021-11-02,9769205151.07,10642199,800357.0,6365554,20391.0,917.97,82613309.88999940,67388.0,5370.0,46997.0
1597,2021-11-03,9812304480.83,10665664,803665.0,6387576,1443.0,919.99,43099329.76000020,23465.0,3308.0,22022.0
1598,2021-11-04,9859177132.54,10678772,803092.0,6392713,7971.0,923.25,46872651.71000100,13108.0,-573.0,5137.0
1599,2021-11-05,9890101769.5,10691247,,6398169,7019.0,925.07,30924636.959999100,12475.0,,5456.0
1600,2021-11-06,9948557762.72,10809535,,6472314,44143.0,920.35,58455993.21999930,118288.0,,74145.0
1601,2021-11-07,10010966054.63,10853882,,6496920,19741.0,922.34,62408291.90999990,44347.0,,24606.0
1602,2021-11-08,10088033031.85,10913146,,6541355,14829.0,924.39,77066977.22000120,59264.0,,44435.0
