sales_id,active_wallets,cumulative_sales,date,primary_sales_cumulative,sales_count
179,47178,20825134.62,NULL,367064,592114
180,48429,21337256.73,NULL,378869,611175
181,49098,21759847.87,NULL,388058,625222
182,50008,22685558.66,NULL,398204,646005
183,50835,23855008.94,NULL,408694,661808
184,51500,25828464.11,NULL,421261,678090
185,52328,27973984.11,NULL,431856,692687
186,53054,29617165.13,NULL,440539,705268
187,53466,31448628.59,NULL,447188,715090
188,53906,32434693.3,NULL,452144,723036
189,54421,33089254.52,NULL,457876,732142
190,54955,33477458.42,NULL,464468,742121
191,55474,33830493.57,NULL,469875,750395
192,55908,33959868.02,NULL,473753,757036
193,56279,34147673.8,NULL,478023,763957
194,56607,34291082.89,NULL,482719,771543
195,56996,34498430.87,NULL,486706,778027
196,57300,34632482.19,NULL,488865,781635
197,57506,34691174.96,NULL,490447,784203
198,57666,34735324.31,NULL,491582,786279
199,57957,34819737.98,NULL,493265,789185
200,58193,34884309.25,NULL,495203,792379
201,58456,34945278.4,NULL,496693,794929
202,58635,35001619.74,NULL,497772,796695
203,58742,35054177.81,NULL,498604,798021
204,58897,35108922.94,NULL,499900,800180
205,59125,35172985.72,NULL,501401,802662
206,59329,35235666.85,NULL,503017,805161
207,59559,35319071.12,NULL,504851,807978
208,59682,35369172.82,NULL,505980,809796
209,59815,35425802.95,NULL,507248,811814
210,59955,35471906.69,NULL,508736,814140
211,60184,35525826.1,NULL,510536,816958
212,60374,35609037.36,NULL,512584,820075
213,60564,35761029.42,NULL,514643,823293
214,60754,35825606.01,NULL,516548,826380
215,60884,35873852.44,NULL,518432,829405
216,61045,35918966.8,NULL,520171,832292
217,61230,35966866.9,NULL,521859,834966
218,61322,36005075.65,NULL,523247,837218
219,61428,36054980.78,NULL,525084,840037
220,61674,36108948.46,NULL,527110,843177
221,61770,36178999.59,NULL,528738,845838
222,61902,36224013.71,NULL,530220,848312
223,62021,36280232.14,NULL,532199,851300
224,62143,36377394.93,NULL,534119,854158
225,62205,36411290.84,NULL,535528,856234
226,62277,36454311.58,NULL,537143,858730
227,62354,36490463.98,NULL,538599,861027
228,62460,36522165.46,NULL,539918,863077
229,62549,36552761.96,NULL,541282,865462
230,62683,36588330.74,NULL,543485,868797
